hcp_id,hcp_name,region,specialty,trx_count,nrx_count
HCP1447258389,Dr. Andrea Stebel,West,Oncology,12,7
HCP1245468685,Dr. Jason Shultz,South,Oncology,767,220
HCP1720106685,Dr. Nathaniel Dittoe,South,Cardiology,2370,1164
HCP1780674721,Dr. Rajat Fofaria,South,Cardiology,4051,2055
HCP1366678203,Dr. Abdelkader Almanfi,South,Cardiology,721,412
HCP1083693287,Dr. Pamela Santamaria,North,Neurology,4182,1789
HCP1841258696,Dr. Terrence Cescon,East,Oncology,1179,339
HCP1841721776,Dr. Roger Thompson,South,Cardiology,1832,1042
HCP1962478206,Dr. Edwin Zalneraitis,East,Neurology,59,25
HCP1871957159,Dr. Colin Thomas,East,Oncology,177,42
HCP1518090752,Dr. Brett Morrison,South,Neurology,274,96
HCP1639309685,Dr. Syed Sadiq,South,Neurology,3399,972
HCP1720079056,Dr. Timothy Chen,East,Cardiology,5020,2932
HCP1114183282,Dr. Simone Bailey-Brown,East,Cardiology,1802,1066
HCP1568537207,Dr. Sunita Tummala,North,Neurology,3558,1529
HCP1912343674,Dr. Tasha Lin,West,Oncology,218,79
HCP1174962872,Dr. Avaneesh Jakkoju,South,Cardiology,389,129
HCP1891775789,Dr. Gamini Sooriyaarachchi,South,Oncology,953,305
HCP1528164803,Dr. Alex Auseon,North,Cardiology,610,300
HCP1831410265,Dr. Dominick Bufalino,North,Cardiology,5217,3074
HCP1689776106,Dr. Jon Peters,South,Neurology,1533,592
HCP1972684298,Dr. Eric Yeung,South,Cardiology,12521,6948
HCP1184889156,Dr. Rabia Malik,West,Neurology,1252,511
HCP1255403747,Dr. Silva Markovic-Plese,East,Neurology,357,115
HCP1376783696,Dr. Anupama Alareddy,South,Neurology,952,290
HCP1245529940,Dr. Joseph Ebinger,West,Cardiology,510,255
HCP1174907711,Dr. Dhara Patel,North,Cardiology,560,274
HCP1790950624,Dr. Anne Magauran,East,Neurology,18,8
HCP1265455315,Dr. Theresa Zesiewicz,South,Neurology,1708,826
HCP1033171673,Dr. Paul Goldshlack,North,Cardiology,853,506
HCP1750591087,Dr. Mayank Mathur,East,Neurology,2185,1009
HCP1407824733,Dr. Vincent Romano,East,Cardiology,4586,2710
HCP1598770968,Dr. Nabeen Hussain,South,Neurology,3183,1539
HCP1003857715,Dr. Giselle Petzinger,West,Neurology,2800,1019
HCP1356323729,Dr. Timothy Herron,North,Neurology,95,52
HCP1861507584,Dr. Joshua Busch,West,Cardiology,1857,1028
HCP1063584548,Dr. Ana Felix,South,Neurology,763,310
HCP1992717763,Dr. Harry Hicklin,South,Cardiology,5257,2328
HCP1932559697,Dr. Usha Sree Janapala,North,Neurology,30,10
HCP1477502235,Dr. Geeta Rajan,South,Neurology,1442,576
HCP1598773038,Dr. Gary Clauser,East,Neurology,1827,704
HCP1679584551,Dr. Dennis Costello,West,Cardiology,3077,1734
HCP1457449910,Dr. Feng Liu,West,Neurology,2939,1023
HCP1720013451,Dr. Jordan Katz,East,Cardiology,2559,1409
HCP1164410403,Dr. Mohamed Sadiq,West,Neurology,1015,383
HCP1346322823,Dr. Qaisar Shah,East,Neurology,83,30
HCP1033352703,Dr. Nataliya Pyslar,North,Cardiology,401,204
HCP1447692124,Dr. Fnu Rakshita Chandrashekar,North,Cardiology,4043,2103
HCP1174571947,Dr. Jowher Khaleel,North,Cardiology,2137,1243
HCP1396943742,Dr. Kent Berkey,East,Neurology,2946,1007
HCP1750303905,Dr. Tawee Tanvetyanon,South,Oncology,912,232
HCP1093940736,Dr. Michael Kidd,West,Oncology,1334,427
HCP1710161070,Dr. Shahnaz Begum,South,Cardiology,710,429
HCP1841294121,Dr. Asim Pati,South,Oncology,1400,395
HCP1619388022,Dr. Diana Saravia,South,Oncology,454,213
HCP1558382994,Dr. Clifford Morris,South,Cardiology,2456,1107
HCP1568751196,Dr. Pedro Calderon Artero,South,Cardiology,6625,3716
HCP1699905000,Dr. Marios Gagos,East,Cardiology,2400,1167
HCP1497713267,Dr. Sadanand Patil,West,Oncology,555,143
HCP1487910410,Dr. Essam Nakhla,East,Cardiology,5838,3400
HCP1952385973,Dr. David Shin,South,Cardiology,5897,2599
HCP1790851467,Dr. Daniel Antoniello,East,Neurology,184,60
HCP1689624181,Dr. Robert Donegan,South,Oncology,952,481
HCP1902011158,Dr. Gaston Da Costa,South,Neurology,677,260
HCP1205996980,Dr. Thomas Smith,East,Cardiology,768,438
HCP1902903586,Dr. Heather Anderson,North,Neurology,329,114
HCP1336167956,Dr. Allan Wu,North,Neurology,233,123
HCP1740338912,Dr. Daniel Krauser,East,Cardiology,6983,3801
HCP1396279683,Dr. Jonathan Lee,West,Neurology,229,86
HCP1033230800,Dr. Jeremiah Lanford,West,Neurology,2618,971
HCP1700045945,Dr. Pradeep Natarajan,East,Cardiology,282,138
HCP1679716740,Dr. Tooba Fayyaz,East,Neurology,1704,685
HCP1710976915,Dr. Joseph Acosta,South,Neurology,4388,1414
HCP1316910862,Dr. Karen Hanna,South,Cardiology,7812,3579
HCP1700866159,Dr. Mitchell Burnbaum,West,Neurology,2069,747
HCP1700882651,Dr. Brenda Peart,West,Cardiology,9191,5384
HCP1588161236,Dr. Huili Zhu,South,Oncology,58,13
HCP1558361048,Dr. Fong Chang,South,Cardiology,2161,1304
HCP1356388037,Dr. Jon Wahrenberger,East,Cardiology,3599,2103
HCP1518958180,Dr. Mark Weinfeld,East,Cardiology,1850,1087
HCP1962893644,Dr. Kent Brummel,North,Cardiology,715,337
HCP1588727549,Dr. Kenneth Schwartz,East,Cardiology,1623,1011
HCP1144431230,Dr. Ayad Hamdan,West,Oncology,679,177
HCP1295849602,Dr. Keith Miller,North,Cardiology,10525,4269
HCP1144310939,Dr. Ritesh Dhar,West,Cardiology,361,206
HCP1740634971,Dr. Monica Parks,West,Cardiology,1652,849
HCP1225058357,Dr. Louis Rosenfield,South,Cardiology,47,27
HCP1740382688,Dr. Thomas Roy,West,Cardiology,1185,683
HCP1073569158,Dr. Vadim Levin,South,Cardiology,5886,3386
HCP1295198695,Dr. Samantha Dibenedetto,South,Oncology,319,89
HCP1184806663,Dr. Khawaja Jahangir,West,Oncology,1349,424
HCP1386087807,Dr. Robert Stowe,East,Neurology,57,19
HCP1376944348,Dr. Ravi Vuthoori,West,Cardiology,82,46
HCP1295115079,Dr. Gregory Fenton,North,Neurology,598,224
HCP1184849168,Dr. Antonio Abbate,South,Cardiology,838,468
HCP1205896776,Dr. Carolyn Hendricks,South,Oncology,1137,631
HCP1215279989,Dr. Andrew Liu,South,Neurology,348,168
HCP1013133768,Dr. Olga Waln,South,Neurology,2923,1196
HCP1336160753,Dr. Keith Atassi,North,Cardiology,13800,7955
HCP1053639997,Dr. Yuxuan Jin,East,Neurology,4174,1988
HCP1437647534,Dr. Katharine Sourbeer,South,Neurology,990,439
HCP1538182613,Dr. Anita Kedia,West,Cardiology,6883,4092
HCP1689803223,Dr. Kelly Askim,West,Neurology,1139,535
HCP1033529235,Dr. Kirvia Williams,South,Neurology,56,22
HCP1497792204,Dr. Euan Ashley,West,Cardiology,872,473
HCP1396788972,Dr. Patricia Greenstein,East,Neurology,718,320
HCP1265873566,Dr. Manisha Chandar,West,Oncology,1057,352
HCP1376500389,Dr. Peter Boardman,North,Neurology,1168,561
HCP1861545048,Dr. Phillip Dattilo,West,Cardiology,20,12
HCP1578981114,Dr. Yara Abdou,South,Oncology,124,49
HCP1861468100,Dr. Apurva Desai,North,Oncology,1273,433
HCP1114215563,Dr. Amornpol Anuwatworn,East,Cardiology,430,229
HCP1295953123,Dr. David Tamura,South,Oncology,3084,942
HCP1467860221,Dr. Pallvi Popli,West,Oncology,526,158
HCP1730110529,Dr. Amy Nielsen,West,Neurology,1525,507
HCP1114967239,Dr. Maria Pavez,South,Neurology,1131,360
HCP1215925250,Dr. Thein Oo,South,Oncology,156,49
HCP1811961683,Dr. Martin Bacon,South,Cardiology,3410,1912
HCP1801159264,Dr. Jennifer Davis,North,Cardiology,6852,3852
HCP1447487244,Dr. Sarosh Janjua,North,Cardiology,64,16
HCP1538435979,Dr. Brett Alldredge,West,Neurology,1812,787
HCP1922259589,Dr. Jonathan Ticku,North,Oncology,722,210
HCP1295840577,Dr. Michael Baugh,South,Neurology,1789,649
HCP1013973288,Dr. Donald Mcsweyn,North,Cardiology,1991,984
HCP1962797753,Dr. Nicole Worden,North,Cardiology,3200,1602
HCP1003030685,Dr. Mohamad Sobh,North,Cardiology,6277,2717
HCP1184839284,Dr. Gopi Punukollu,East,Cardiology,2425,1275
HCP1316918535,Dr. Neil Kramer,West,Cardiology,67,37
HCP1508826363,Dr. Lester Padilla,West,Cardiology,4622,2384
HCP1174821177,Dr. Yameen Rashid,North,Oncology,2562,907
HCP1346668365,Dr. Youssef Yaacoub,South,Cardiology,132,72
HCP1750303681,Dr. Javier Francisco Yuvienco,West,Cardiology,5093,2862
HCP1922034693,Dr. Linda Ries,West,Oncology,1067,386
HCP1700810009,Dr. Lisle Nabell,South,Oncology,1132,352
HCP1336331875,Dr. Courtney Saunders,South,Cardiology,1241,541
HCP1609823368,Dr. Manny Katsetos,East,Cardiology,9763,5482
HCP1831316678,Dr. Lisa Baumann Kreuziger,North,Oncology,419,168
HCP1902889744,Dr. Thomas Biggs,North,Cardiology,1966,1159
HCP1023096096,Dr. Azim Saquib,South,Cardiology,44,16
HCP1679679484,Dr. Douglas Nathanson,North,Neurology,177,73
HCP1316088248,Dr. Gregory Bloom,East,Cardiology,646,360
HCP1588855928,Dr. Erica Camargo Faye,East,Neurology,59,31
HCP1073568895,Dr. Bassam Omar,South,Cardiology,2331,1262
HCP1275518862,Dr. Adina Pascaru,East,Cardiology,3240,1985
HCP1043394810,Dr. Sandra Kostyk,North,Neurology,1090,355
HCP1811984701,Dr. Michael Bageac,East,Cardiology,7269,4450
HCP1144466111,Dr. Peerawut Deeprasertkul,South,Cardiology,4799,1785
HCP1518165919,Dr. Aamer Farooq,East,Oncology,794,209
HCP1669652533,Dr. David Brown,West,Neurology,3432,1292
HCP1114253796,Dr. Bhavin Patidar,South,Neurology,917,207
HCP1164657516,Dr. Anita Radhakrishnan,East,Cardiology,2189,1045
HCP1104265156,Dr. Adarsh Vennepureddy,North,Oncology,1603,446
HCP1376585638,Dr. Andrew Kates,North,Cardiology,7597,3923
HCP1124027743,Dr. Jude Espinoza,South,Cardiology,3831,2199
HCP1043509797,Dr. Aaron Lisberg,West,Oncology,105,27
HCP1376570143,Dr. Marc Schieber,East,Neurology,492,135
HCP1811098171,Dr. Shaheda Azher,East,Neurology,4523,1800
HCP1518208735,Dr. Sheryl Christy,North,Cardiology,740,387
HCP1972503001,Dr. Gregory Ziolo,East,Cardiology,10749,6416
HCP1023351830,Dr. Timothy Shih,North,Cardiology,1597,827
HCP1710984711,Dr. Howard Schecht,North,Neurology,3191,1152
HCP1215952676,Dr. Emad Farag,West,Neurology,1425,763
HCP1043396807,Dr. Jennifer Dorosz,West,Cardiology,3091,1867
HCP1659758654,Dr. Joel Rivera Concepcion,South,Oncology,392,91
HCP1205820024,Dr. Michael Balk,South,Cardiology,2833,1506
HCP1467773176,Dr. Kamil Muhyieddeen,West,Cardiology,2385,1189
HCP1265773055,Dr. Luke Burchill,North,Cardiology,436,164
HCP1114919354,Dr. Timothy Walsh,East,Cardiology,3109,1762
HCP1396373247,Dr. Catherine Suen,West,Neurology,64,34
HCP1598928186,Dr. Lori Noorollah,North,Neurology,185,81
HCP1053317941,Dr. Thomas Sneed,South,Oncology,4937,1331
HCP1174748396,Dr. Sidney Peykar,South,Cardiology,1174,667
HCP1083611685,Dr. Ryszard Skulski,West,Cardiology,1771,891
HCP1144214719,Dr. Mitchell Lefland,East,Cardiology,6871,4150
HCP1588076665,Dr. Yuvraj Heir,South,Neurology,2098,953
HCP1992703516,Dr. Mariette Austin,East,Oncology,1384,517
HCP1720045180,Dr. Marie Gerhard-Herman,East,Cardiology,1007,561
HCP1932140472,Dr. Sapna Rathi,North,Neurology,1031,322
HCP1053350389,Dr. Terrance Lee,East,Cardiology,806,373
HCP1013303304,Dr. Yinn Shaung Ooi,East,Cardiology,1644,866
HCP1780649541,Dr. Delvis Celdran,South,Neurology,6955,2551
HCP1568649556,Dr. Amy Viehoever,North,Neurology,106,27
HCP1669411633,Dr. Yevgeny Azrieli,East,Neurology,1782,720
HCP1285897371,Dr. Nitin Jaluria,East,Cardiology,2351,1278
HCP1578528089,Dr. Tatyana Feldman,East,Oncology,1271,319
HCP1902064629,Dr. Alfred Garfall,East,Oncology,476,125
HCP1255383337,Dr. Brett Poisson,West,Oncology,1868,540
HCP1033521513,Dr. Varun Sreenivasan,South,Neurology,441,164
HCP1497737597,Dr. Paul Heath,South,Cardiology,286,138
HCP1962411835,Dr. Felix Rios Gonzalez,South,Cardiology,8573,2567
HCP1457302879,Dr. Rajen Mehta,South,Cardiology,8256,4942
HCP1134407943,Dr. Lina Restrepo,East,Cardiology,1379,802
HCP1811019532,Dr. Maria Cruz-Lartigaut,South,Neurology,7385,1764
HCP1104142405,Dr. Krina Patel,South,Oncology,554,137
HCP1770585556,Dr. Erik Aragon,South,Neurology,262,121
HCP1932549086,Dr. Jennifer Emmons,North,Cardiology,4796,2523
HCP1699939892,Dr. Priya Sateesha,North,Cardiology,5406,3337
HCP1467695502,Dr. Vikas Gupta,South,Oncology,447,126
HCP1730116690,Dr. Ann Marie Mascellino,East,Neurology,7321,2841
HCP1629083407,Dr. Peter Jurisich,West,Cardiology,1806,1033
HCP1851706725,Dr. Swati Vishwanathan,South,Oncology,1501,400
HCP1780609966,Dr. Robert Figlin,West,Oncology,83,18
HCP1649262882,Dr. John Puleo,South,Cardiology,3655,1952
HCP1902119415,Dr. Crystal Janani,South,Neurology,1098,398
HCP1689837379,Dr. Saurabh Chhabra,West,Oncology,744,191
HCP1891181699,Dr. Tiffany Mao,South,Cardiology,2771,1477
HCP1841220845,Dr. Nathan Ho,West,Cardiology,6201,3354
HCP1154771459,Dr. Christopher Yoo,North,Cardiology,2445,1502
HCP1700061736,Dr. Tejas Patel,South,Cardiology,5633,2930
HCP1356345193,Dr. Koroush Khalighi,North,Cardiology,4440,2626
HCP1275560708,Dr. Randall Webb,South,Neurology,4461,1338
HCP1679937445,Dr. Paul Beach,South,Neurology,233,92
HCP1033261557,Dr. Joseph Jordan,West,Neurology,20,7
HCP1356489157,Dr. Amy Pollak,South,Cardiology,675,316
HCP1326004920,Dr. Brian Cospolich,South,Cardiology,7249,3771
HCP1639319718,Dr. Lauren Oommen,West,Neurology,96,30
HCP1225260110,Dr. Ashiq Masood,North,Oncology,140,37
HCP1194872044,Dr. Earle Burgess,South,Oncology,206,68
HCP1538244843,Dr. Jason Freeman,East,Cardiology,1454,864
HCP1114243516,Dr. Raghunandan Dudda Subramanya,East,Cardiology,4821,2888
HCP1023189099,Dr. Sonja Potrebic,West,Neurology,657,230
HCP1669604849,Dr. George Yaghmour,West,Oncology,34,10
HCP1700173762,Dr. Edgardo Reyes Aponte,South,Cardiology,1900,1099
HCP1831519891,Dr. Arelis Salas Robinson,South,Oncology,1172,412
HCP1689930034,Dr. Joshua Kamins,West,Neurology,723,211
HCP1669472213,Dr. Marc Fisk,East,Cardiology,3746,2038
HCP1275501363,Dr. Balagopal Keralavarma,North,Oncology,642,206
HCP1396299483,Dr. Mohamed Abdelrahman,North,Cardiology,2095,914
HCP1457397580,Dr. Mark Rubenstein,South,Cardiology,8312,5066
HCP1649731373,Dr. Jacqueline Hirschey,North,Neurology,392,98
HCP1578592036,Dr. Holli Horak,West,Neurology,1258,559
HCP1689237760,Dr. Nicole Bonsavage,South,Neurology,334,164
HCP1417068420,Dr. James Ragland,West,Neurology,181,66
HCP1508971318,Dr. Alice Rusk,East,Neurology,4681,2118
HCP1306860176,Dr. William Callaghan,South,Cardiology,590,294
HCP1174557888,Dr. Steven Messe,East,Neurology,286,115
HCP1750385696,Dr. Mark Edelstein,East,Cardiology,4610,2457
HCP1639275381,Dr. Mohan Harwani,South,Cardiology,5485,2900
HCP1710326780,Dr. Samuel Brown,South,Neurology,19,5
HCP1093944092,Dr. Eva Gupta,South,Oncology,995,338
HCP1740609825,Dr. Joshua Reuss,South,Oncology,318,91
HCP1013969377,Dr. Giovanni Campanile,East,Cardiology,2596,1538
HCP1205887601,Dr. Paul Barkhaus,North,Neurology,50,11
HCP1528054996,Dr. Julian Nunez,North,Cardiology,3617,2015
HCP1750530754,Dr. Saria Refai,South,Neurology,1343,607
HCP1255399267,Dr. Arun Venkat,North,Cardiology,5087,2402
HCP1124552641,Dr. Andrew Bullock,West,Cardiology,235,103
HCP1104826825,Dr. Wei Song,East,Oncology,915,335
HCP1891883468,Dr. Hingson Chun,South,Cardiology,5343,2960
HCP1861438434,Dr. Ty Hasselman,North,Cardiology,12,7
HCP1407057300,Dr. Rachel Lee,South,Cardiology,2636,1444
HCP1467989186,Dr. Monica Tamil,North,Oncology,27,6
HCP1710998000,Dr. Robert Pratt,West,Neurology,142,66
HCP1174539662,Dr. Jennifer Vickers,South,Neurology,2730,695
HCP1669420956,Dr. Teresa De Marco,West,Cardiology,697,277
HCP1437491222,Dr. Naseem Esteghamat,West,Oncology,380,89
HCP1144223264,Dr. Francisco Garcia-Moreno,East,Oncology,325,126
HCP1568425726,Dr. Mark Sheldon,South,Cardiology,1247,686
HCP1659369536,Dr. Benjamin Sanchez,East,Cardiology,3575,1942
HCP1376722736,Dr. Altaf Ali,West,Cardiology,7648,4335
HCP1275617532,Dr. Bakri Elsheikh,North,Neurology,433,132
HCP1457322166,Dr. Yungpo Su,North,Oncology,1093,346
HCP1265495444,Dr. Kandathil Mathew,South,Cardiology,5489,3219
HCP1144387192,Dr. Sairah Ahmed,South,Oncology,344,89
HCP1437340668,Dr. Mohammad Mozayen,North,Oncology,1291,359
HCP1205835501,Dr. Muthayyah Srinivasan,South,Cardiology,7166,4027
HCP1104825785,Dr. Chun Wang Tan,South,Cardiology,4759,1994
HCP1134517121,Dr. Mohamad Ani,East,Cardiology,5252,2984
HCP1578574216,Dr. Asifa Malik,West,Oncology,209,61
HCP1225567233,Dr. Talha Aijaz,South,Oncology,258,62
HCP1043261068,Dr. Paul Ginsberg,South,Neurology,575,209
HCP1154303170,Dr. Lan Qin,East,Neurology,157,53
HCP1447240858,Dr. Lata Thatai,East,Oncology,1234,573
HCP1801844089,Dr. Ioana Dumitru,South,Cardiology,2599,1277
HCP1629048632,Dr. Stephen Fedec,South,Cardiology,3192,1859
HCP1932585023,Dr. Manidhar Reddy Lekkala,North,Oncology,992,319
HCP1770997009,Dr. Urooba Faheem,West,Neurology,5780,2319
HCP1881872687,Dr. Eric Cheung,West,Oncology,3229,1017
HCP1073718185,Dr. Oladotun Okunola,East,Neurology,674,322
HCP1730594011,Dr. Abhi Pandhi,South,Neurology,28,12
HCP1861807547,Dr. Azza Ahmed,North,Cardiology,458,209
HCP1902066970,Dr. Aviva Lubin,East,Neurology,547,177
HCP1255835138,Dr. Vivian Chukwurah,South,Oncology,148,41
HCP1922054170,Dr. Barry Harris,South,Cardiology,3262,1930
HCP1306922828,Dr. Mohammad Moussavian,West,Neurology,421,217
HCP1790123792,Dr. Seth Wander,East,Oncology,480,257
HCP1982852166,Dr. Yessar Hussain,South,Neurology,397,128
HCP1831530799,Dr. Nattamol Hosiriluck,West,Oncology,1497,505
HCP1700847597,Dr. Ramon Gil,South,Neurology,2553,1153
HCP1770654550,Dr. Marc Greenblatt,East,Oncology,416,99
HCP1952508186,Dr. Erik Ortega,West,Neurology,1639,502
HCP1740450295,Dr. Vladimir Shvarts,West,Neurology,1240,403
HCP1003040254,Dr. Samit Shah,East,Cardiology,1423,650
HCP1518341940,Dr. Siddharth Shah,North,Cardiology,765,426
HCP1548709884,Dr. Gang Cheng,South,Cardiology,1701,832
HCP1811952591,Dr. Paul Adams,North,Oncology,2036,668
HCP1467401729,Dr. Gayl Reader,South,Cardiology,13230,5390
HCP1538493754,Dr. Nimesh Patel,South,Cardiology,1859,898
HCP1811930183,Dr. Melita Theyagaraj,South,Neurology,97,30
HCP1750573069,Dr. Ketan Doshi,South,Oncology,1536,486
HCP1366488538,Dr. Evan Levine,East,Cardiology,2444,1340
HCP1811004088,Dr. Ryan Whitney,South,Cardiology,10796,6128
HCP1154563021,Dr. Maya Barghash,East,Cardiology,1725,753
HCP1962455071,Dr. Sherman Tang,South,Cardiology,5920,2907
HCP1396954269,Dr. Rimas Lukas,North,Oncology,219,76
HCP1154612901,Dr. Laura Risley,East,Neurology,45,19
HCP1922105642,Dr. Alan Shah,East,Cardiology,9379,5554
HCP1134436579,Dr. Alejandro Trevino Ortiz,South,Cardiology,4733,2786
HCP1932304797,Dr. John Symons,East,Cardiology,202,109
HCP1457338592,Dr. Martha Nance,North,Neurology,5406,2691
HCP1033183868,Dr. Yash Mehndiratta,South,Neurology,71,21
HCP1821229584,Dr. Yoon Jae Choi,West,Neurology,285,107
HCP1235206285,Dr. Ehab Atallah,North,Oncology,649,169
HCP1972691905,Dr. Justin Stahl,West,Neurology,2343,943
HCP1366582116,Dr. Matthew Ortman,East,Cardiology,876,426
HCP1104322676,Dr. Alexander Slaten,North,Cardiology,197,81
HCP1376737437,Dr. David Schmidt,South,Neurology,1215,614
HCP1780671248,Dr. David Funt,South,Cardiology,364,209
HCP1033375423,Dr. Aneet Patel,West,Cardiology,1701,942
HCP1114005238,Dr. Helen Barold,South,Cardiology,2856,1572
HCP1467421321,Dr. Geoffrey Tremblay,East,Cardiology,5516,3189
HCP1407122823,Dr. Jennifer Springer,West,Cardiology,2457,1437
HCP1194934588,Dr. Shivak Sharma,West,Cardiology,2090,1318
HCP1326303793,Dr. Atif Khan,South,Oncology,171,48
HCP1861482390,Dr. Matthew Smith,South,Neurology,117,39
HCP1790775153,Dr. Mayank Modi,East,Cardiology,9358,5531
HCP1528181468,Dr. Eteri Bibileishvili,South,Neurology,5283,1678
HCP1770786584,Dr. Diana Vargas Vives,South,Neurology,1402,408
HCP1508960683,Dr. Jaydutt Patel,North,Cardiology,1571,718
HCP1720070683,Dr. Gary Greenberg,West,Cardiology,652,354
